"Mnemonic","OemCode","Manufacturer","ESTA Man Code","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem_guangzhou_huayong_intelligent_technology_co_ltd_huayong_controller_1","0x29A5","Guangzhou HuaYong Intelligent Technology Co Ltd","0x0977 ","HuaYong Controller","2","6","y","y","http://www.hyzn2017.com"
"Oem_guangzhou_jinzhihui_electronic_technology_co_top_1440_led_rgb_strobe_1","0x2995","Guangzhou JinZhiHui Electronic Technology Co","0x08E3 ","TOP 1440 LED RGB STROBE","8","8","Y","Y","http://www.toppest.cn/en/"
"Oem_guangzhou_ming_jing_stage_light_king_kong_controller_1","0x2962","Guangzhou Ming Jing Stage Light","0x085A ","King Kong Controller","4","4","Y","Y","http://www.mjinglight.com/en"
"Oem_guangzhou_ming_jing_stage_lighting_equipment_co_ltd_kingkongbaton_1","0x29FF","GuangZhou Ming jing stage lighting equipment co LTD","0x085A ","KingKongBaton","1","8","y","y","http://www.mjinglight.com/en/Index.html"
"Oem_guangzhou_mingyan_electronic_technology_co_ltd_mingyan_motherboard_1","0x2AA3","Guangzhou Mingyan Electronic Technology Co Ltd","","Mingyan motherboard","1","1","y","y","https://www.myboard.ltd"
"Oem_guangzhou_mingyan_electronic_technology_co_ltd_par_light_motherboard_1","0x2AA4","Guangzhou Mingyan Electronic Technology Co Ltd","","Par light motherboard","1","1","y","y","https://www.mybaord.ltd"
"Oem_guangzhou_mingyan_electronic_technology_co_ltd_wifi_controller_1","0x2AA5","Guangzhou Mingyan Electronic Technology Co Ltd","","Wifi controller","1","1","y","y","https://www.myboard.ltd"
"Oem_guangzhou_ruiyang_lighting_technology_co_ltd_dmx2048_1","0x2E10","Guangzhou RuiYang lighting technology co LTD","0x08ef","dmx2048","4","4","y","n","https://e.tb.cn/h.hnc5NYiDNPV8aNj?tk=7Thh4UOMHiS"
"Oem_gva_lighting_inc_pdc_g5_1","0x2BC0","GVA Lighting Inc","0x02CB ","PDC-G5","0","128","n","y","https://gvalighting.com/"
"Oem_hangzhou_yd_illumination_co_ltd_led_controller_1","0x2D18","Hangzhou YD Illumination Co Ltd","0x0822","LED Controller","0","8","y","y","https://www.ydlighting.com/"
"Oem_hdl_dmxnode8_1","0x29DA","HDL","","DMXNode8","8","8","y","y","http://www.hdlchina.com"
"Oem_hera_led_hera_ether_node4_1","0x2956","Hera Led","0x686C ","Hera Ether Node4","0","4","y","y","www.heraled.com"
"Oem_highlite_international_bv_furion_b402_beam_1","0x2CF1","Highlite International BV","0x29B4","Furion B402 Beam","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_furion_fx402_bar_1","0x2D9B","Highlite International BV","0x29B4","Furion FX402 Bar","1","1","y","y","https://www.highlite.com/en/brands/infinity.html"
"Oem_highlite_international_bv_furion_h402_hybrid_1","0x2CF0","Highlite International BV","0x29B4","Furion H402 Hybrid","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_furion_p402_profile_1","0x2CEB","Highlite International BV","0x29B4","Furion P402 Profile","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_furion_p602_profile_1","0x2CEA","Highlite International BV","0x29B4","Furion P602 Profile","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_furion_s402_spot_1","0x2CED","Highlite International BV","0x29B4","Furion S402 Spot","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_furion_s602_spot_1","0x2CEC","Highlite International BV","0x29B4","Furion S602 Spot","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_furion_w402_washbeam_1","0x2CEF","Highlite International BV","0x29B4","Furion W402 WashBeam","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_furion_w602_washbeam_1","0x2CEE","Highlite International BV","0x29B4","Furion W602 WashBeam","1","0","y","y","https://www.highlite.com/en/brands/infinity/moving-lights.html"
"Oem_highlite_international_bv_goliath_1","0x2D89","Highlite International BV","0x29B4","Goliath","2","0","y","y","https://www.highlite.com/nl/merken/showtec/decoratieve-verlichting/retro-verlichting.html"
"Oem_highlite_international_bv_signature_tf480c6_fresnel_1","0x2DDE","Highlite International BV","0x29B4","Signature TF480C6 Fresnel","1","0","y","y","https://www.highlite.com/nl/signature"
"Oem_highlite_international_bv_signature_ts480c6_profile_1","0x2DDF","Highlite International BV","0x29B4","Signature TS480C6 Profile","1","0","y","y","https://www.highlite.com/nl/signature"
"Oem_home_assistant_core_team_and_community_home_assistant_1","0x2BE9","Home Assistant Core Team and Community","","Home Assistant","32768","32768","n","n","http://www.home-assistant.io/"
"Oem_hondel_lighting_limited_hds308a_1","0x2CC2","Hondel Lighting Limited","0x095E","HDS308A","0","32","y","n","https://www.hondellighting.com"
"Oem_hongyuan_hy001_1","0x2BDD","HongYuan","","HY001","20","200","n","n","http://www.hy201008.com/"
"Oem_huizhou_latu_film_equipment_co_ltd_sd1200b_1","0x2D7D","Huizhou LATU Film Equipment Co Ltd","0x0867","SD1200B","4","4","y","y","https://gvmled.com"
